Problem Size,Direct,Vector,Indirect
8388608,1168.244285627225,1137.950242187584,247.8421348446298
16777216,1170.0347477086214,1165.4466717447262,136.53952228052734
33554432,1169.938274608655,1167.0723658122138,60.073620851806474
67108864,1170.1229328493912,1166.7997129474593,133.88091724310274
134217728,1168.3668270275396,1162.961905710471,79.9277660958556
268435456,1169.1955277411237,1166.6216923291174,71.88928015333283
