method,N,mean_time,std_time,runs,MFLOP/s,BW_util_%,Latency_ns
sum_direct,8388608,0.0071805255999999994,1.7479408379576195e-05,5,1168.244285627225,0.0,0.8559853553771972
sum_direct,16777216,0.014339075000000001,9.864792876689784e-06,5,1170.0347477086214,0.0,0.8546754717826844
sum_direct,33554432,0.0286805148,1.53203785592917e-05,5,1169.938274608655,0.0,0.8547459483146668
sum_direct,67108864,0.0573519774,4.150490088893211e-05,5,1170.1229328493912,0.0,0.8546110600233078
sum_direct,134217728,0.1148763598,0.00018632582705626304,5,1168.3668270275396,0.0,0.8558955773711204
sum_direct,268435456,0.22958987579999998,0.00023334360105154578,5,1169.1955277411237,0.0,0.8552889369428157
sum_indirect,8388608,0.0338465774,0.0004100602539899498,5,247.8421348446298,0.2420333348092088,4.034826445579529
sum_indirect,16777216,0.1228744302,0.00443745860893617,5,136.53952228052734,0.13333937722707745,7.323886764049529
sum_indirect,33554432,0.5585551782,0.008332484537520462,5,60.073620851806474,0.05866564536309225,16.646241492033006
sum_indirect,67108864,0.5012578744,0.0032917083489178212,5,133.88091724310274,0.13074308324521752,7.469324386119843
sum_indirect,134217728,1.6792378238,0.06714518735296185,5,79.9277660958556,0.078054459077984,12.511296747624876
sum_indirect,268435456,3.7340122954000003,0.0800691158729691,5,71.88928015333283,0.07020437514973908,13.910279778391125
sum_vector,8388608,0.0073716826,0.0003831872746377417,5,1137.950242187584,1.1112795333863126,0.878773045539856
sum_vector,16777216,0.014395524400000002,4.490054248335993e-05,5,1165.4466717447262,1.1381315153757092,0.8580401182174684
sum_vector,33554432,0.0287509438,2.8201042652710912e-05,5,1167.0723658122138,1.13971910723849,0.8568448960781098
sum_vector,67108864,0.0575153244,9.711838679312994e-05,5,1166.7997129474593,1.139452844675253,0.8570451200008392
sum_vector,134217728,0.11541025320000001,0.0010861721616563405,5,1162.961905710471,1.135704986045382,0.8598733931779862
sum_vector,268435456,0.23009640380000002,0.0003706638844245657,5,1166.6216923291174,1.1392789964151537,0.8571759007871151
